Backtracking;Cocke-Younger-Kasami-Algorithmus;Ahmet Erguen, Niklas Bunzel
Backtracking;CSP - Backtracking & Forward Check;Martin Distler, Simon Werner
Backtracking;Damenproblem;Roman Uhlig, Michael Rau
Backtracking;Davis-Putnam-Verfahren;Magnus Brand, Bastian de Groot
Backtracking;Recursive Backtracking Maze Generation;David Berman
Backtracking;Springerproblem;Eric Brüggemann, Mohit Mahkija
Backtracking;Yue Hu, Xinyu Liu;Patience Sort
Compression;Burrows-Wheeler Transformation;Florian Lindner
Compression;Burrows-Wheeler Transformation;Florian Lindner
Compression;DXT1;Jan Petto, Nikolas Asimyadis
Compression;DXT4;Jan Petto, Nikolas Asimyadis
Compression;Huffman Code;Jonathan Roth, Till Vo�
Compression;Huffman Coding;"Sebasian Fach, Peter Kl&ouml;ckner"
Compression;Lempel Ziv 77;Maximilian Müller, Tobias Neidig
Compression;Lempel Ziv 77;Maximilian Müller, Tobias Neidig
Compression;LZW (Lempel, Ziv, Welch 1984);Florian Lindner
Compression;LZW (Lempel, Ziv, Welch 1984);Florian Lindner
Compression;LZW (Lempel, Ziv, Welch 1984);Florian Lindner
Compression;Move to Front;Florian Lindner
Compression;Move to Front;Florian Lindner
Compression;RLE (Lauflängencodierung);Florian Lindner
Compression;Sequitur Komprimierung (Nevill-Manning, Witten 1997);Florian Lindner
Compression;Shannon-Fano Coding;Dieter Hofmann, Artem Vovk
Compression;Shannon-Fano Coding;"Sebasian Fach, Peter Kl&ouml;ckner"
Compression;Tunstall Coding;Jonathan Roth, Till Vo�
Cryptography;AddRoundKey;Stefan Kaesdorf, Marco Drebing
Cryptography;ADFGX-Verschlüsselung;Taylan Özden, Jonas Dopf
Cryptography;Advanced Encryption Standard (AES);Bernd Conrad, Sandra Amend
Cryptography;Advanced Encryption Standard (AES);Bernd Conrad, Sandra Amend
Cryptography;Advanced Encryption Standard (AES);Bernd Conrad, Sandra Amend
Cryptography;Advanced Encryption Standard (AES);Lukas Strassel, Stefan Wegener
Cryptography;Advanced Encryption Standard (AES);Lukas Strassel, Stefan Wegener
Cryptography;ARC4 (Alleged RC4);David Becker
Cryptography;Atbasch;"Nicolas Kolb, Marco Br&auml;uning"
Cryptography;Babystep-Giantstep;Daniel Lehmann, Ji-Ung Lee
Cryptography;BB84;Vincent Riesop und Nils Mäser
Cryptography;Blowfish Decryption Generator ;Dani El-Soufi , Deniz Can Franz Ertan
Cryptography;Blowfish Encryption Generator ;Dani El-Soufi, Deniz Can Franz Ertan
Cryptography;Caesar Cipher;Annika Beissler, Martin Hess, Nando Fuchs
Cryptography;Caesar Cipher;Can Güler, Tayfun Atik
Cryptography;Caesar Cipher;Dmytro Vronskyi
Cryptography;Caesar Cipher;Galin Bobev, Mir-Misagh Zayyeni
Cryptography;Caesar Cipher;Gamze Canova, Stephan Moczygemba
Cryptography;Caesar Cipher;Iaad Zabar, Abdulghani Alshadadi
Cryptography;Caesar Cipher;Jan H. Post, Tim Grube
Cryptography;Caesar Cipher;Jerome Möckel, Stefan Schmitz
Cryptography;Caesar Cipher;Leonid Khaylov
Cryptography;Caesar Cipher;Malek Boulakbech
Cryptography;Caesar Cipher;Stephan Arneth
Cryptography;Caesar Cipher;Thorsten Franzel
Cryptography;CFB Decryption;Tien Truong Nguyen
Cryptography;Cipher Block Chaining Mode (CBC);Stephan Cornelius Arndt, Felix Gündling
Cryptography;Cipher Block Chaining Mode (CBC);Stephan Cornelius Arndt, Felix Gündling
Cryptography;Cipher Feedback Mode (CFB);Kristijan Madunic
Cryptography;Counter Mode;Andreas Pesak, Rolf Egert
Cryptography;Data Encryption Standard (DES);Andre Daube, Kokilan Kanesalingam
Cryptography;Data Encryption Standard (DES);Andre Daube, Kokilan Kanesalingam
Cryptography;Data Encryption Standard (DES);Andre Daube, Kokilan Kanesalingam
